log_id,job_name,db_name,tb_name,status,start_time,end_time,err_msg
1,CREATE,metadata,catalog,COMPLETED,2025-08-15 13:57:26.873875,2025-08-15 13:57:26.873875,
5,CREATE,raw,NAPLAN_2025_Results,COMPLETED,2025-08-15 15:15:32.353196,2025-08-15 15:15:32.353196,
6,CREATE,raw,NAPLAN_2025_Results,COMPLETED,2025-08-15 15:17:47.675285,2025-08-15 15:17:47.675285,
7,CREATE,raw,NAPLAN_2025_Results,COMPLETED,2025-08-15 15:19:54.867378,2025-08-15 15:19:54.867378,
8,CREATE,metadata,catalog,COMPLETED,2025-08-15 15:27:28.407771,2025-08-15 15:27:28.407771,
9,CREATE,metadata,ingest_csv_headers,COMPLETED,2025-08-15 15:27:58.108036,2025-08-15 15:27:58.108036,
10,CREATE,Sims4,addon,COMPLETED,2025-08-20 16:11:02.092995,2025-08-20 16:11:02.092995,
11,INSERT,Sims4,addon,FAILED,2025-08-20 16:31:36.196608,2025-08-20 16:31:36.199987,[Errno 2] No such file or directory: 'C:\\Users\\Zef\\Downloads\\Sims4\\Sims4.addon.csv'
12,INSERT,Sims4,addon,RUNNING,2025-08-20 16:32:04.104931,,
13,INSERT,Sims4,addon,RUNNING,2025-08-20 16:34:27.857738,,
14,INSERT,sims4,addon,COMPLETED,2025-08-20 16:35:02.907039,2025-08-20 16:35:02.928292,
15,CREATE,Sims4,addon_feature,COMPLETED,2025-08-20 16:36:21.791063,2025-08-20 16:36:21.791063,
16,CREATE,Sims4,addon_integration,COMPLETED,2025-08-20 16:36:31.699923,2025-08-20 16:36:31.699923,
17,CREATE,Sims4,feature_limitation,COMPLETED,2025-08-20 16:36:39.044891,2025-08-20 16:36:39.044891,
18,CREATE,Sims4,owned,COMPLETED,2025-08-20 16:37:56.727163,2025-08-20 16:37:56.727163,
19,INSERT,sims4,addon_feature,COMPLETED,2025-08-20 16:38:18.790684,2025-08-20 16:38:18.852284,
20,INSERT,sims4,addon_integration,COMPLETED,2025-08-20 16:39:07.986461,2025-08-20 16:39:07.995102,
21,INSERT,sims4,feature_limitation,RUNNING,2025-08-20 16:39:21.315546,,
22,INSERT,sims4,feature_limitation,FAILED,2025-08-20 16:46:07.063936,2025-08-20 16:46:07.071948,'tuple' object has no attribute 'name'
23,INSERT,sims4,feature_limitation,FAILED,2025-08-20 16:47:28.929604,2025-08-20 16:47:28.951448,"value too long for type character varying(1)
"
24,INSERT,sims4,feature_limitation,COMPLETED,2025-08-20 16:49:15.179575,2025-08-20 16:49:15.260868,
25,INSERT,sims4,owned,COMPLETED,2025-08-20 16:50:00.069138,2025-08-20 16:50:00.104265,
26,ARCHIVE,govhack2025,datasets,COMPLETED,2025-09-04 09:26:51.214431,2025-09-04 09:26:51.214431,
27,BACKUP,sims4,addon,COMPLETED,2025-09-04 11:19:05.697656,2025-09-04 11:19:05.716207,
28,BACKUP,sims4,addon_feature,COMPLETED,2025-09-04 11:19:05.724771,2025-09-04 11:19:05.726439,
29,BACKUP,sims4,addon_integration,COMPLETED,2025-09-04 11:19:05.731759,2025-09-04 11:19:05.733169,
30,BACKUP,sims4,feature_limitation,COMPLETED,2025-09-04 11:19:05.736280,2025-09-04 11:19:05.737818,
31,BACKUP,sims4,owned,COMPLETED,2025-09-04 11:19:05.744095,2025-09-04 11:19:05.745580,
32,BACKUP,archive,govhack2025_datasets,COMPLETED,2025-09-04 11:19:05.748948,2025-09-04 11:19:05.751879,
33,BACKUP,metadata,ingest_csv_headers,COMPLETED,2025-09-04 11:19:06.774292,2025-09-04 11:19:06.777733,
34,BACKUP,metadata,logs,RUNNING,2025-09-04 11:19:06.781229,,
